Date,#Passengers
1949-01,112.0
1949-02,118.0
1949-03,132.0
1949-04,129.0
1949-05,121.0
1949-06,135.0
1949-07,148.0
1949-08,148.0
1949-09,136.0
1949-10,119.0
1949-11,104.0
1949-12,118.0
1950-01,115.0
1950-02,126.0
1950-03,141.0
1950-04,135.0
1950-05,125.0
1950-06,149.0
1950-07,170.0
1950-08,170.0
1950-09,158.0
1950-10,133.0
1950-11,114.0
1950-12,140.0
1951-01,145.0
1951-02,150.0
1951-03,178.0
1951-04,163.0
1951-05,172.0
1951-06,178.0
1951-07,199.0
1951-08,199.0
1951-09,184.0
1951-10,162.0
1951-11,146.0
1951-12,166.0
1952-01,171.0
1952-02,180.0
1952-03,193.0
1952-04,181.0
1952-05,183.0
1952-06,218.0
1952-07,230.0
1952-08,242.0
1952-09,209.0
1952-10,191.0
1952-11,172.0
1952-12,194.0
1953-01,196.0
1953-02,196.0
1953-03,236.0
1953-04,235.0
1953-05,229.0
1953-06,243.0
1953-07,264.0
1953-08,272.0
1953-09,237.0
1953-10,211.0
1953-11,180.0
1953-12,201.0
1954-01,204.0
1954-02,188.0
1954-03,235.0
1954-04,227.0
1954-05,234.0
1954-06,264.0
1954-07,302.0
1954-08,293.0
1954-09,259.0
1954-10,229.0
1954-11,203.0
1954-12,229.0
1955-01,242.0
1955-02,233.0
1955-03,267.0
1955-04,269.0
1955-05,270.0
1955-06,315.0
1955-07,364.0
1955-08,347.0
1955-09,312.0
1955-10,274.0
1955-11,237.0
1955-12,278.0
1956-01,284.0
1956-02,277.0
1956-03,317.0
1956-04,313.0
1956-05,318.0
1956-06,374.0
1956-07,413.0
1956-08,405.0
1956-09,355.0
1956-10,306.0
1956-11,271.0
1956-12,306.0
1957-01,315.0
1957-02,301.0
1957-03,356.0
1957-04,348.0
1957-05,355.0
1957-06,422.0
1957-07,465.0
1957-08,467.0
1957-09,404.0
1957-10,347.0
1957-11,305.0
1957-12,336.0
1958-01,340.0
1958-02,318.0
1958-03,362.0
1958-04,348.0
1958-05,363.0
1958-06,435.0
1958-07,491.0
1958-08,505.0
1958-09,404.0
1958-10,359.0
1958-11,310.0
1958-12,337.0
1959-01,360.0
1959-02,342.0
1959-03,406.0
1959-04,396.0
1959-05,420.0
1959-06,472.0
1959-07,548.0
1959-08,559.0
1959-09,463.0
1959-10,407.0
1959-11,362.0
1959-12,405.0
1960-01,417.0
1960-02,391.0
1960-03,419.0
1960-04,461.0
1960-05,472.0
1960-06,535.0
1960-07,622.0
1960-08,606.0
1960-09,582.878287192
1960-10,565.323277587
1960-11,549.809663417
1960-12,559.856800745
1961-01,575.626647921
1961-02,586.03856113
1961-03,592.512117036
1961-04,592.57820855
1961-05,591.08904074
1961-06,592.098551358
1961-07,595.187179962
1961-08,599.864840111
1961-09,604.689161818
1961-10,608.498195561
1961-11,611.48915662
1961-12,614.119774089
1962-01,616.859036755
1962-02,619.985269007
1962-03,623.385190669
1962-04,626.845226051
1962-05,630.215888376
1962-06,633.447190488
1962-07,636.598502212
1962-08,639.751683845
1962-09,642.950360623
1962-10,646.196143272
1962-11,649.461715446
1962-12,652.718961474
1963-01,655.956988685
1963-02,659.180257016
1963-03,662.400010336
1963-04,665.625065005
1963-05,668.857360318
1963-06,672.093842036
1963-07,675.330295301
1963-08,678.564226312
1963-09,681.795666479
1963-10,685.026089619
1963-11,688.256946883
1963-12,691.48884292
1964-01,694.721523048
1964-02,697.954378349
1964-03,701.186951032
1964-04,704.419136626
1964-05,707.651100178
1964-06,710.883068724
1964-07,714.115172203
1964-08,717.347408101
1964-09,720.579697591
1964-10,723.811962996
1964-11,727.044172875
1964-12,730.276341234
1965-01,733.50850054
1965-02,736.740675155
